Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
ATL,16,408,628,4363,41,2.6,206,55,71,167,24.4%,16,6.5
BUF,16,410,596,4620,27,2.6,254,65,48,140,21.5%,29,7.9
CAR,16,373,550,3888,36,2.3,178,46,42,124,19.9%,37,7.4
CHI,16,402,614,3655,36,2.3,179,40,63,139,20.7%,20,8.9
CIN,16,372,581,3448,48,2.3,195,37,72,157,24.1%,23,5.2
CLE,16,315,501,3539,26,2.6,184,49,31,106,19.2%,25,6.1
IND,16,371,552,4053,21,2.4,127,40,37,98,17.0%,2,2.5
ARI,16,387,575,3916,29,2.4,160,55,25,109,16.6%,51,8.4
DAL,16,413,639,4161,44,2.4,218,56,53,153,21.6%,26,7.1
DEN,16,317,556,3451,32,2.6,217,66,70,168,27.4%,26,5.8
DET,16,374,582,4104,42,2.4,194,48,49,139,21.6%,19,7.9
GNB,16,372,526,4106,21,2.4,168,33,28,82,14.4%,24,6.2
HOU,16,383,546,4538,50,2.5,170,75,47,172,26.1%,62,6.4
JAX,16,387,616,3699,44,2.4,167,58,40,142,20.6%,29,6.3
KAN,16,420,630,4854,24,2.5,150,64,63,151,21.8%,40,7.3
MIA,16,370,559,3736,34,2.2,216,36,46,116,18.5%,33,6.8
MIN,16,349,516,4009,39,2.6,181,56,78,173,30.2%,17,8.1
NOR,16,370,522,3758,29,2.4,138,24,47,100,17.5%,20,8.3
NWE,16,283,440,2890,37,2.6,209,53,40,130,26.0%,23,8.7
NYG,16,321,517,3026,50,2.5,222,62,64,176,29.7%,26,7.2
NYJ,16,292,499,2796,43,2.4,201,59,58,160,27.9%,31,7.5
TEN,16,316,485,3653,25,2.5,162,37,61,123,23.2%,20,7.4
PHI,16,334,598,3327,65,2.6,230,53,80,198,27.8%,49,7.4
PIT,16,428,656,4003,14,2.1,187,54,55,123,18.2%,4,5.5
LVR,16,369,551,4217,28,2.5,178,59,32,119,19.6%,28,5.4
LAR,16,392,590,4014,25,2.4,203,45,58,128,20.0%,24,5.1
BAL,16,257,406,2739,32,2.5,115,51,28,111,22.7%,50,7.3
LAC,16,413,627,4329,34,2.4,180,90,72,196,28.5%,27,5.4
SEA,16,388,563,3941,48,2.6,210,65,68,181,27.3%,53,8.7
SFO,16,371,570,4033,39,2.4,193,45,83,167,27.1%,7,5.4
TAM,16,410,626,4626,22,2.4,169,35,58,115,17.6%,6,4.3
WAS,16,389,601,3465,50,2.4,163,64,62,176,26.3%,17,6.9