Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
ATL,17,393,1451,11,75,811,2.1,640,1.6,19,20.7
BUF,17,461,2209,20,134,1208,2.6,1001,2.2,40,11.5
CAR,17,455,1842,17,117,1036,2.3,806,1.8,31,14.7
CHI,17,475,2018,14,119,1217,2.6,801,1.7,37,12.8
CIN,17,436,1742,16,96,963,2.2,779,1.8,36,12.1
CLE,17,485,2471,20,138,1261,2.6,1210,2.5,44,11.0
IND,17,499,2540,22,154,1340,2.7,1200,2.4,37,13.5
ARI,17,496,2076,23,127,1286,2.6,790,1.6,28,17.7
DAL,17,473,2119,15,111,1245,2.6,874,1.8,19,24.9
DEN,17,455,2025,16,123,1055,2.3,970,2.1,52,8.8
DET,17,427,1886,12,104,1153,2.7,733,1.7,26,16.4
GNB,17,446,1900,13,109,1016,2.3,884,2.0,32,13.9
HOU,17,420,1422,8,77,730,1.7,692,1.6,15,28.0
JAX,17,392,1755,13,92,1121,2.9,634,1.6,18,21.8
KAN,17,431,1955,16,119,1339,3.1,616,1.4,14,30.8
MIA,17,442,1568,12,87,869,2.0,699,1.6,23,19.2
MIN,17,449,1930,10,103,1096,2.4,834,1.9,33,13.6
NOR,17,510,1991,12,113,1197,2.3,794,1.6,40,12.8
NWE,17,489,2151,24,139,1087,2.2,1064,2.2,37,13.2
NYG,17,419,1688,8,90,1040,2.5,648,1.5,9,46.6
NYJ,17,380,1667,14,87,938,2.5,729,1.9,24,15.8
TEN,17,551,2404,23,134,1287,2.3,1117,2.0,28,19.7
PHI,17,550,2715,25,163,1806,3.3,909,1.7,39,14.1
PIT,17,411,1583,10,85,765,1.9,818,2.0,35,11.7
LVR,17,414,1617,14,95,924,2.2,693,1.7,28,14.8
LAR,17,420,1683,10,99,945,2.3,738,1.8,19,22.1
BAL,17,517,2479,18,159,1579,3.1,900,1.7,31,16.7
LAC,17,423,1834,18,112,1135,2.7,699,1.7,18,23.5
SEA,17,413,2074,18,106,1169,2.8,905,2.2,34,12.1
SFO,17,499,2166,22,130,1169,2.3,997,2.0,32,15.6
TAM,17,385,1672,18,106,895,2.3,777,2.0,21,18.3
WAS,17,477,2061,13,129,1230,2.6,831,1.7,26,18.3